<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Execution Time(us)>
,total,min,max,avr,count
FS_UpdateInfo_InvalidSignal,950.670,155.820,170.890,170.890,6
update_ems,71.740,11.790,12.630,12.630,6
.cocofun_37,17.650,0.360,0.820,0.630,30
.cocofun_51,7.860,0.360,0.590,0.437,18
.cocofun_41,9.320,0.360,0.650,0.607,18
.cocofun_60,39.100,0.380,0.780,0.550,72
.cocofun_54,5.940,0.490,0.500,0.495,12
.cocofun_39,23.930,0.770,0.880,0.856,30
.cocofun_31,26.520,0.770,1.090,0.904,30
.cocofun_38,11.340,0.450,0.760,0.630,18
.cocofun_49,12.310,0.670,0.690,0.687,18
update_clu,63.500,10.510,10.710,10.710,6
.cocofun_36,18.960,1.570,1.590,1.580,12
.cocofun_59,12.690,0.680,0.930,0.763,18
.cocofun_50,5.940,0.490,0.500,0.495,12
.cocofun_42,10.980,0.900,0.930,0.915,12
update_esc,234.040,38.730,40.390,40.390,6
.cocofun_52,6.000,0.490,0.510,0.500,12
.cocofun_58,33.240,0.920,0.930,0.923,36
.cocofun_40,23.940,0.490,0.510,0.499,48
.cocofun_35,18.120,1.460,1.520,1.485,12
.cocofun_33,26.040,1.430,1.530,1.497,18
.cocofun_43,8.280,0.690,0.690,0.690,12
update_mdps,84.660,13.840,15.460,15.460,6
.cocofun_53,5.760,0.470,0.490,0.480,12
.cocofun_47,5.780,0.400,0.690,0.690,12
update_bcm,50.220,8.370,8.370,8.370,6
update_sbcm,46.640,7.640,8.440,8.440,6
.cocofun_55,8.460,0.700,0.710,0.705,12
update_navi,84.840,13.680,16.400,16.400,6
.cocofun_56,9.450,0.350,0.650,0.550,18
update_fr_c_rdr,65.310,10.620,12.210,12.210,6
.cocofun_46,8.670,0.680,0.840,0.835,12
update_rdr_fail_flg,15.900,2.530,3.250,3.250,6
get_inhibit_ptr,14.000,0.520,0.590,0.540,26
dump_smu_debug,3.000,0.500,0.500,0.500,6
FS_UpdateInfo_SWFailure,10.300,1.610,2.250,2.250,6
FS_UpdateInfo_VariantCoding,17.350,2.760,3.420,3.420,6
FS_SetDiagsta,320.200,52.970,54.230,54.230,6
FS_SetDiagsta_BatteryVoltage,9.240,1.540,1.540,1.540,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110117_SetEventStatus,2.580,0.430,0.430,0.430,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110216_SetEventStatus,3.060,0.510,0.510,0.510,6
FS_SetDiagsta_CANBusOff,10.560,1.760,1.760,1.760,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161E88_SetEventStatus,3.060,0.510,0.510,0.510,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160A88_SetEventStatus,2.160,0.360,0.360,0.360,6
FS_SetDiagsta_CANTimeout,120.830,20.110,20.280,20.280,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161187_SetEventStatus,3.360,0.560,0.560,0.560,6
.cocofun_28,37.440,0.490,0.740,0.520,72
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161287_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162887_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165B87_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168787_SetEventStatus,3.360,0.560,0.560,0.560,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162387_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181287_SetEventStatus,3.420,0.570,0.570,0.570,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C167A87_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B164087_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165C87_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B169887_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186687_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186387_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B160487_SetEventStatus,3.420,0.570,0.570,0.570,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185287_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185187_SetEventStatus,3.240,0.340,0.580,0.340,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AA87_SetEventStatus,2.500,0.340,0.570,0.570,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AB87_SetEventStatus,3.420,0.570,0.570,0.570,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188087_SetEventStatus,4.420,0.720,0.740,0.720,6
FS_SetDiagsta_InvalidSignal,149.780,24.750,26.030,26.030,6
.cocofun_34,18.540,0.980,1.830,1.263,18
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161386_SetEventStatus,4.500,0.750,0.750,0.750,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164686_SetEventStatus,2.220,0.370,0.370,0.370,6
.cocofun_32,22.340,0.920,1.120,0.973,24
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165686_SetEventStatus,4.500,0.750,0.750,0.750,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181281_SetEventStatus,3.120,0.520,0.520,0.520,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164286_SetEventStatus,4.920,0.820,0.820,0.820,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C16B881_SetEventStatus,3.420,0.570,0.570,0.570,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C136081_SetEventStatus,4.860,0.810,0.810,0.810,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C163881_SetEventStatus,3.360,0.560,0.560,0.560,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164282_SetEventStatus,3.480,0.580,0.580,0.580,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164281_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183E86_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168886_SetEventStatus,3.420,0.570,0.570,0.570,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C223986_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181486_SetEventStatus,3.600,0.600,0.600,0.600,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185481_SetEventStatus,2.580,0.430,0.430,0.430,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185381_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C184286_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183D82_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C187002_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C174686_SetEventStatus,2.580,0.430,0.430,0.430,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183186_SetEventStatus,3.000,0.500,0.500,0.500,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B086_SetEventStatus,4.500,0.750,0.750,0.750,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B186_SetEventStatus,2.220,0.370,0.370,0.370,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188186_SetEventStatus,3.060,0.510,0.510,0.510,6
FS_SetDiagsta_HWFailure,5.700,0.950,0.950,0.950,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160404_SetEventStatus,2.220,0.370,0.370,0.370,6
FS_SetDiagsta_SWFailure,6.360,1.060,1.060,1.060,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160604_SetEventStatus,3.000,0.500,0.500,0.500,6
FS_SetDiagsta_VariantCoding,15.930,2.310,3.060,2.310,6
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C170255_SetEventStatus,2.160,0.360,0.360,0.360,6
FS_SetInhibit,344.910,50.930,68.740,53.530,6
memset,11.230,1.870,1.880,1.880,6
FS_SetInhibit_BatteryVoltage,8.640,1.440,1.440,1.440,6
FS_SetInhibit_CANBusOff,42.980,1.260,19.000,1.260,6
FS_SetInhibit_CANTimeout,73.110,12.160,12.310,12.160,6
FS_SetInhibit_InvalidSignal,85.890,13.800,14.490,14.490,6
FS_SetInhibit_HWFailure,5.520,0.920,0.920,0.920,6
FS_SetInhibit_SWFailure,5.640,0.940,0.940,0.940,6
FS_SetInhibit_VariantCoding,107.220,17.140,19.660,19.660,6
update_inhibit_info,100.620,11.950,13.860,13.860,8
FS_PostProcessing,32.060,5.330,5.410,5.410,6
