<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.4
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<All Function List>
File,Function Name,Address Range,True/False
FS_SWFailure.c,FS_SetInhibit_SWFailure,P:80005022--80005041,True
FS_SWFailure.c,FS_SetInhibit_VariantCoding,P:80005042--80005061,True
SWC_Failsafe.c,FS_UpdateInfo,P:8000525A--80005291,True
FS_BatteryVoltage.c,FS_UpdateInfo_BatteryVoltage,P:80002CC2--80002CE7,True
FS_CANBusOff.c,FS_UpdateInfo_CANBusOff,P:80002E32--80002ECB,True
FS_CANTimeout.c,FS_UpdateInfo_CANTimeout,P:800033C2--8000383F,True
FS_HWFailure.c,FS_UpdateInfo_HWFailure,P:800002AA--800002AB,True
FS_InvalidSignal.c,FS_UpdateInfo_InvalidSignal,P:8000412A--800044DB,True
FS_SWFailure.c,FS_UpdateInfo_SWFailure,P:80005062--8000508D,True
FS_SWFailure.c,FS_UpdateInfo_VariantCoding,P:8000508E--800050FF,True
SWC_Failsafe.c,FS_UpdatePrecond,P:80005292--800053ED,True
SWC_Failsafe.c,Get_ADAS_DRV_ACANMonSta,P:800053EE--80005421,False
SWC_Failsafe.c,Get_ADAS_DRV_CodingSta,P:80005422--8000542F,False
SWC_Failsafe.c,Get_ADAS_DRV_FailInfoSta,P:80005430--80005455,False
SWC_Failsafe.c,Get_BCA_Option,P:80005456--80005459,False
SWC_Failsafe.c,Get_HDA2_Option,P:8000547A--8000547F,True
SWC_Failsafe.c,get_inhibit_ptr,P:80005484--8000548D,True
SWC_Failsafe.c,Get_ISG_Option,P:8000545A--8000546B,False
SWC_Failsafe.c,Get_MDPS_Option,P:8000546C--80005479,True
SWC_Failsafe.c,Get_NAVI_Option,P:8000547A--8000547F,True
SWC_Failsafe.c,get_precond_ptr,P:8000548E--80005497,True
SWC_Failsafe.c,Get_RadarFailureFlg,P:80005480--80005483,False
SWC_Failsafe.c,Get_RCCW_Option,P:80005456--80005459,False
SWC_Failsafe.c,Get_SEA_Option,P:80005456--80005459,False
FS_InvalidSignal.c,is_coding_navi_mismatch,P:800044DC--800044E5,True
FS_InvalidSignal.c,is_valid_ems,P:800044E6--800044FB,True
prost_main.c,main_core0,P:800063FA--80006401,False
prost_main.c,main_core1,P:80006402--80006409,False
prost_main.c,main_core2,P:8000640A--8000643D,True
prost_main.c,main_core3,P:8000643E--80006445,False
prost_main.c,main_core4,P:80006446--8000644D,False
prost_main.c,main_core5,P:8000644E--80006455,False
memcpy.c,memcpy,P:8000574E--800057B1,False
memset.c,memset,P:800057B2--80005807,True
prost_stubs.c,Prost_Delay,P:80006456--80006485,False
FS_HWFailure.c,put_hw_err,P:800038DC--80003903,False
FS_SWFailure.c,put_sw_err,P:80005100--80005151,False
Rte_SWC_Diag.c,Rte_Call_SWC_DiagnosticMonitor_DS000_ReportError,P:80000004--80000007,False
prost_main.c,Stack0_Fill,P:80006316--8000633B,False
prost_main.c,Stack1_Fill,P:8000633C--80006361,False
prost_main.c,Stack2_Fill,P:80006362--80006387,True
prost_main.c,Stack3_Fill,P:80006388--800063AD,False
prost_main.c,Stack4_Fill,P:800063AE--800063D3,False
prost_main.c,Stack5_Fill,P:800063D4--800063F9,False
SWC_Failsafe.c,store_in_nvm,P:80005498--800054F3,False
FS_InvalidSignal.c,update_bcm,P:800044FC--800045AF,True
FS_InvalidSignal.c,update_clu,P:800045B0--8000463F,True
FS_InvalidSignal.c,update_ems,P:80004640--8000470F,True
FS_InvalidSignal.c,update_esc,P:80004710--800049CF,True
FS_InvalidSignal.c,update_fr_c_rdr,P:800049D0--80004AC7,True
FS_InvalidSignal.c,update_info,P:80004AC8--80004B15,True
SWC_Failsafe.c,update_inhibit_info,P:800054F4--8000574D,True
FS_InvalidSignal.c,update_mdps,P:80004B16--80004C9F,True
FS_InvalidSignal.c,update_navi,P:80004CA0--80004EFF,True
FS_InvalidSignal.c,update_rdr_fail_flg,P:80004F00--80004F47,True
FS_InvalidSignal.c,update_sbcm,P:80004F48--80004FD5,True
FS_BatteryVoltage.c,update_vol_info,P:80002CE8--80002DC9,True
cinit.c,_c_init,P:8000000C--80000017,False
cinit.c,_c_init_entry,P:80000018--80000137,True
cinit_tc1.c,_c_init_tc1,P:80000138--80000143,False
cinit_tc2.c,_c_init_tc2,P:80000144--8000014F,True
cinit_tc3.c,_c_init_tc3,P:80000150--8000015B,False
cinit_tc4.c,_c_init_tc4,P:8000015C--80000167,False
cinit_tc5.c,_c_init_tc5,P:80000168--80000173,False
prost_cstart.c,_endinit_clear,P:80005868--8000587D,False
prost_cstart_tc1.c,_endinit_clear_tc1,P:80005B40--80005B5F,False
prost_cstart_tc2.c,_endinit_clear_tc2,P:80005CD2--80005CF1,False
prost_cstart_tc3.c,_endinit_clear_tc3,P:80005E72--80005E91,False
prost_cstart_tc4.c,_endinit_clear_tc4,P:80006004--80006023,False
prost_cstart_tc5.c,_endinit_clear_tc5,P:80006196--800061B5,False
prost_cstart.c,_endinit_set,P:8000587E--80005893,False
prost_cstart_tc1.c,_endinit_set_tc1,P:80005B60--80005B7F,False
prost_cstart_tc2.c,_endinit_set_tc2,P:80005CF2--80005D11,False
prost_cstart_tc3.c,_endinit_set_tc3,P:80005E92--80005EB1,False
prost_cstart_tc4.c,_endinit_set_tc4,P:80006024--80006043,False
prost_cstart_tc5.c,_endinit_set_tc5,P:800061B6--800061D5,False
cinit.c,_ldmst_clear_byte,P:80000174--800001A1,False
cinit.c,_ldmst_copy_byte,P:800001A2--800001E5,False
prost_cstart.c,_safety_endinit_clear,P:80005894--800058A5,False
prost_cstart.c,_safety_endinit_set,P:800058A6--800058B7,False
prost_cstart_tc5.c,_start,P:800061D6--80006311,False
prost_cstart_tc1.c,_start_tc1,P:80005CB8--80005CBB,False
prost_cstart_tc2.c,_start_tc2,P:80005E4A--80005E4D,False
prost_cstart_tc3.c,_start_tc3,P:80005E64--80005E67,False
prost_cstart_tc4.c,_start_tc4,P:80005E68--80005E6B,False
prost_cstart_tc5.c,_start_tc5,P:80006312--80006315,False
trapass.c,_trapassertion,P:800001E6--800001F9,False
trapbus.c,_trapbus,P:800001FA--8000020D,False
trapcont.c,_trapcontext,P:8000020E--80000221,False
trapinst.c,_trapinstruction,P:80000222--80000235,False
trapmmu.c,_trapmmu,P:80000236--80000247,False
trapnmi.c,_trapnmi,P:80000248--8000025B,False
trapprot.c,_trapprotection,P:8000025C--8000026F,False
trapsys.c,_trapsystem,P:80000270--8000027B,False
prost_cstart_tc5.c,__init_sp,P:80006180--80006195,False
""
<Function Coverage Result>
Coverage Rate,27.63819095477387%
All Function Count,199
True Function Count,55
False Function Count,66
