<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Execution Time(us)>
,total,min,max,avr,count
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AB87_SetEventStatus,16.530,0.570,0.570,0.570,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188087_SetEventStatus,21.440,0.720,0.740,0.720,29
FS_SetDiagsta_InvalidSignal,719.400,24.720,26.030,26.030,29
.cocofun_34,85.630,0.690,1.830,1.263,87
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161386_SetEventStatus,21.750,0.750,0.750,0.750,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164686_SetEventStatus,10.730,0.370,0.370,0.370,29
.cocofun_32,107.440,0.920,1.150,0.973,116
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165686_SetEventStatus,21.750,0.750,0.750,0.750,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181281_SetEventStatus,15.080,0.520,0.520,0.520,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164286_SetEventStatus,23.780,0.820,0.820,0.820,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C16B881_SetEventStatus,16.530,0.570,0.570,0.570,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C136081_SetEventStatus,23.490,0.810,0.810,0.810,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C163881_SetEventStatus,16.240,0.560,0.560,0.560,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164282_SetEventStatus,16.590,0.350,0.580,0.580,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164281_SetEventStatus,14.500,0.500,0.500,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183E86_SetEventStatus,14.500,0.500,0.500,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168886_SetEventStatus,16.530,0.570,0.570,0.570,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C223986_SetEventStatus,14.500,0.500,0.500,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181486_SetEventStatus,17.400,0.600,0.600,0.600,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185481_SetEventStatus,12.470,0.430,0.430,0.430,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185381_SetEventStatus,14.500,0.500,0.500,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C184286_SetEventStatus,14.500,0.500,0.500,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183D82_SetEventStatus,14.500,0.500,0.500,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C187002_SetEventStatus,14.500,0.500,0.500,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C174686_SetEventStatus,12.470,0.430,0.430,0.430,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183186_SetEventStatus,14.730,0.500,0.730,0.500,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B086_SetEventStatus,21.840,0.750,0.840,0.750,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B186_SetEventStatus,10.730,0.370,0.370,0.370,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188186_SetEventStatus,14.790,0.510,0.510,0.510,29
FS_SetDiagsta_HWFailure,27.550,0.950,0.950,0.950,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160404_SetEventStatus,10.730,0.370,0.370,0.370,29
FS_SetDiagsta_SWFailure,30.740,1.060,1.060,1.060,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160604_SetEventStatus,14.500,0.500,0.500,0.500,29
FS_SetDiagsta_VariantCoding,73.050,2.310,3.060,2.310,29
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C170255_SetEventStatus,10.440,0.360,0.360,0.360,29
FS_SetInhibit,3784.880,51.090,608.180,53.600,29
memset,53.960,1.860,1.880,1.880,29
FS_SetInhibit_BatteryVoltage,41.760,1.440,1.440,1.440,29
FS_SetInhibit_CANBusOff,36.540,1.260,1.260,1.260,29
FS_SetInhibit_CANTimeout,2537.520,12.280,568.670,12.280,29
FS_SetInhibit_InvalidSignal,524.680,13.760,32.600,14.440,29
FS_SetInhibit_HWFailure,26.680,0.920,0.920,0.920,29
FS_SetInhibit_SWFailure,27.260,0.940,0.940,0.940,29
FS_SetInhibit_VariantCoding,513.860,17.140,19.660,19.660,29
update_inhibit_info,1975.390,11.570,14.190,13.860,161
FS_PostProcessing,147.090,4.890,5.410,5.410,29
.cocofun_30,3.880,0.500,0.610,0.580,7
.cocofun_26,558.170,4.840,8.870,4.870,112
.cocofun_29,7.570,0.340,0.560,0.480,15
