<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Execution Time(us)>
,total,min,max,avr,count
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110216_SetEventStatus,5.100,0.510,0.510,0.510,10
FS_SetDiagsta_CANBusOff,17.600,1.760,1.760,1.760,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161E88_SetEventStatus,5.100,0.510,0.510,0.510,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160A88_SetEventStatus,3.600,0.360,0.360,0.360,10
FS_SetDiagsta_CANTimeout,201.270,20.110,20.280,20.280,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161187_SetEventStatus,5.600,0.560,0.560,0.560,10
.cocofun_28,62.400,0.490,0.740,0.520,120
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161287_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162887_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165B87_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168787_SetEventStatus,5.600,0.560,0.560,0.560,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162387_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181287_SetEventStatus,5.700,0.570,0.570,0.570,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C167A87_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B164087_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165C87_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B169887_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186687_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C186387_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B160487_SetEventStatus,5.700,0.570,0.570,0.570,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185287_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185187_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AA87_SetEventStatus,5.700,0.570,0.570,0.570,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AB87_SetEventStatus,5.700,0.570,0.570,0.570,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188087_SetEventStatus,7.380,0.720,0.740,0.720,10
FS_SetDiagsta_InvalidSignal,248.780,24.750,26.030,26.030,10
.cocofun_34,30.050,0.690,1.830,1.263,30
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C161386_SetEventStatus,7.500,0.750,0.750,0.750,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164686_SetEventStatus,3.700,0.370,0.370,0.370,10
.cocofun_32,37.100,0.920,1.120,0.973,40
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C165686_SetEventStatus,7.500,0.750,0.750,0.750,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181281_SetEventStatus,3.520,0.280,0.520,0.520,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164286_SetEventStatus,7.960,0.580,0.820,0.820,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C16B881_SetEventStatus,5.700,0.570,0.570,0.570,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C136081_SetEventStatus,8.100,0.810,0.810,0.810,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C163881_SetEventStatus,5.600,0.560,0.560,0.560,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164282_SetEventStatus,5.800,0.580,0.580,0.580,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164281_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183E86_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168886_SetEventStatus,5.700,0.570,0.570,0.570,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C223986_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181486_SetEventStatus,6.000,0.600,0.600,0.600,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185481_SetEventStatus,4.300,0.430,0.430,0.430,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185381_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C184286_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183D82_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C187002_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C174686_SetEventStatus,4.300,0.430,0.430,0.430,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183186_SetEventStatus,5.000,0.500,0.500,0.500,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B086_SetEventStatus,7.500,0.750,0.750,0.750,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B186_SetEventStatus,3.700,0.370,0.370,0.370,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C188186_SetEventStatus,5.100,0.510,0.510,0.510,10
FS_SetDiagsta_HWFailure,9.500,0.950,0.950,0.950,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160404_SetEventStatus,3.700,0.370,0.370,0.370,10
FS_SetDiagsta_SWFailure,10.600,1.060,1.060,1.060,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160604_SetEventStatus,5.000,0.500,0.500,0.500,10
FS_SetDiagsta_VariantCoding,23.100,2.310,2.310,2.310,10
Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C170255_SetEventStatus,3.600,0.360,0.360,0.360,10
FS_SetInhibit,452.260,34.730,54.210,34.740,10
memset,18.710,1.870,1.880,1.880,10
FS_SetInhibit_BatteryVoltage,118.900,1.440,20.920,1.440,10
FS_SetInhibit_CANBusOff,13.050,1.260,1.410,1.260,10
FS_SetInhibit_CANTimeout,121.600,12.160,12.160,12.160,10
FS_SetInhibit_InvalidSignal,144.400,14.440,14.440,14.440,10
FS_SetInhibit_HWFailure,9.200,0.920,0.920,0.920,10
FS_SetInhibit_SWFailure,9.400,0.940,0.940,0.940,10
FS_SetInhibit_VariantCoding,9.200,0.920,0.920,0.920,10
FS_PostProcessing,50.580,4.610,5.760,4.610,10
update_inhibit_info,77.280,12.520,14.100,14.100,6
