<General Information>
Test_Code_Path,C:\Users\CSA_DEV\Documents\Working\Prost_v2.0\Workspace\MANDO_FailSafe_Integration\Target_SW
SW_Version,3.3
CPU_Clock,3000000
Test_SW_Version,
Test_Code_List,"['.\\MANDO_FailSafe_Integration.c', 'prost_cstart.c', 'prost_cstart_tc1.c', 'prost_cstart_tc2.c', 'prost_cstart_tc3.c', 'prost_cstart_tc4.c', 'prost_cstart_tc5.c', 'prost_main.c', 'prost_stubs.c', 'SWC_Failsafe.c', 'FS_BatteryVoltage.c', 'FS_CANBusOff.c', 'FS_CANTimeout.c', 'FS_HWFailure.c', 'FS_InvalidSignal.c', 'FS_SWFailure.c', 'Rte_SWC_Diag.c', 'Stub.c', 'cinit.c', 'trapass.c', 'trapcont.c', 'trapmmu.c', 'trapprot.c', 'trapbus.c', 'trapinst.c', 'trapnmi.c', 'trapsys.c', 'memset.c', 'memcpy.c', '_Exit.c', 'cinit_tc1.c', 'cinit_tc2.c', 'cinit_tc3.c', 'cinit_tc4.c', 'cinit_tc5.c']"
Test_CPU,tc39x
Test_Project,MANDO_FailSafe_Integration
HeaderFile_Path,
Pcache,0
Test_CompilerType,TASKING
Comment,TRACE32_20_02
Dcache,0
Tester,
Test_Component,MANDO_FailSafe_Integration
CompilerVersion,6.2
 
<Summary of Code Coverage - MC/DC>
address,tree,coverage,mcdc,lines,ok,dec,cond,true,false,bytes,
P:80002440--80002445,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183887_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002448--8000244D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28A402_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002450--80002455,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B160487_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002458--8000245D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162387_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002460--80002465,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168787_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002468--8000246D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183C82_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002470--80002475,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AA87_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002478--8000247D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B164087_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002480--80002485,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162587_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002488--8000248D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C168886_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002490--80002495,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183D82_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002498--8000249D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28AB87_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024A0--800024A5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_B169887_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024A8--800024AD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C162887_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024B0--800024B5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C16B881_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024B8--800024BD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C183E86_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024C0--800024C5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B086_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024C8--800024CD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110117_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024D0--800024D5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C163881_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024D8--800024DD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C170255_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024E0--800024E5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C184286_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024E8--800024ED,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C28B186_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024F0--800024F5,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C110216_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800024F8--800024FD,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C163886_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002500--80002505,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C174487_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002508--8000250D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185187_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002510--80002515,Rte_Call_SWC_DiagnosticMonitor_IndStatus_DemIndicator_0_GetIndicatorStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002518--8000251D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C136081_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002520--80002525,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164281_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002528--8000252D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C174686_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002530--80002535,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185287_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002538--8000253D,Rte_Call_SWC_DiagnosticMonitor_OpCycle_POWER_CYCLE_SetOperationCycleState,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002540--80002545,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160404_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002548--8000254D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164282_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002550--80002555,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C180586_SetEventStatus,incomplete,0.000%,1.,0.,0.,0.,0.,0.,6.,
P:80002558--8000255D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185381_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002560--80002565,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C160604_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002568--8000256D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C164286_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002570--80002575,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C181281_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:80002578--8000257D,Rte_Call_SWC_DiagnosticMonitor_Event_DEM_E_UDS_DTC_C185481_SetEventStatus,stmt+mc/dc,100.000%,1.,6.,0.,0.,0.,0.,6.,
P:800002AA--800002AB,dump_smu_debug,stmt+mc/dc,100.000%,3.,6.,0.,0.,0.,0.,6.,
P:800002AA--800002AB,dump_smu_status,stmt+mc/dc,100.000%,3.,6.,0.,0.,0.,0.,6.,
P:800002AA--800002AB,FS_UpdateInfo_HWFailure,stmt+mc/dc,100.000%,3.,6.,0.,0.,0.,0.,6.,
P:80003866--80003875,FS_SetDiagsta_HWFailure,stmt+mc/dc,100.000%,1.,16.,0.,0.,0.,0.,16.,
P:80003876--8000389B,FS_SetInhibit_HWFailure,incomplete,40.000%,5.,12.,1.,1.,0.,1.,38.,
P:8000389C--800038B3,amend_hw_err_cnt,incomplete,0.000%,4.,0.,0.,0.,0.,0.,24.,
P:800038B4--800038DB,dump_ext_wdg_reset,incomplete,0.000%,7.,0.,3.,4.,0.,0.,40.,
P:800038DC--80003903,put_hw_err,incomplete,0.000%,8.,0.,4.,5.,0.,0.,52.,
P:800002AA--800002AB,FS_Init,stmt+mc/dc,100.000%,1.,2.,0.,0.,0.,0.,2.,
P:80005172--80005185,FS_MasterLoop,stmt+mc/dc,100.000%,5.,20.,0.,0.,0.,0.,20.,
P:80005186--80005211,FS_PostProcessing,incomplete,41.666%,24.,62.,9.,21.,4.,3.,140.,
P:80005212--8000522D,FS_SetDiagsta,stmt+mc/dc,100.000%,7.,28.,0.,0.,0.,0.,28.,
P:8000522E--80005259,FS_SetInhibit,stmt+mc/dc,100.000%,8.,44.,0.,0.,0.,0.,44.,
P:8000525A--80005291,FS_UpdateInfo,incomplete,58.333%,12.,38.,1.,1.,0.,1.,56.,
P:80005292--800053ED,FS_UpdatePrecond,incomplete,16.000%,50.,188.,19.,32.,8.,4.,348.,
P:800053EE--80005421,Get_ADAS_DRV_ACANMonSta,incomplete,0.000%,12.,0.,4.,4.,0.,0.,72.,
P:80005422--8000542F,Get_ADAS_DRV_CodingSta,incomplete,0.000%,2.,0.,1.,1.,0.,0.,14.,
P:80005430--80005455,Get_ADAS_DRV_FailInfoSta,incomplete,0.000%,6.,0.,2.,3.,0.,0.,42.,
P:80005456--80005459,Get_RCCW_Option,incomplete,0.000%,3.,0.,0.,0.,0.,0.,12.,
P:80005456--80005459,Get_BCA_Option,incomplete,0.000%,3.,0.,0.,0.,0.,0.,12.,
P:80005456--80005459,Get_SEA_Option,incomplete,0.000%,3.,0.,0.,0.,0.,0.,12.,
P:8000545A--8000546B,Get_ISG_Option,incomplete,0.000%,2.,0.,1.,1.,0.,0.,18.,
P:8000546C--80005479,Get_MDPS_Option,stmt+mc/dc,100.000%,2.,14.,0.,0.,0.,0.,14.,
P:8000547A--8000547F,Get_NAVI_Option,incomplete,50.000%,4.,12.,2.,2.,0.,0.,12.,
P:8000547A--8000547F,Get_HDA2_Option,incomplete,50.000%,4.,12.,2.,2.,0.,0.,12.,
P:80005480--80005483,Get_RadarFailureFlg,incomplete,0.000%,1.,0.,0.,0.,0.,0.,4.,
P:80005484--8000548D,get_inhibit_ptr,stmt+mc/dc,100.000%,1.,10.,0.,0.,0.,0.,10.,
P:8000548E--80005497,get_precond_ptr,stmt+mc/dc,100.000%,1.,10.,0.,0.,0.,0.,10.,
P:80005498--800054F3,store_in_nvm,incomplete,0.000%,14.,0.,2.,2.,0.,0.,92.,
P:800054F4--8000574D,update_inhibit_info,incomplete,91.071%,56.,584.,4.,6.,3.,1.,602.,
P:80002C48--80002C61,FS_Clear_BatteryVoltage,incomplete,0.000%,2.,0.,0.,0.,0.,0.,26.,
P:80002C62--80002C7D,FS_SetDiagsta_BatteryVoltage,stmt+mc/dc,100.000%,2.,28.,0.,0.,0.,0.,28.,
P:80002C7E--80002CC1,FS_SetInhibit_BatteryVoltage,stmt+mc/dc,100.000%,7.,68.,2.,2.,2.,2.,68.,
P:80002CC2--80002CE7,FS_UpdateInfo_BatteryVoltage,stmt+mc/dc,100.000%,3.,34.,0.,0.,0.,0.,38.,
P:80002CE8--80002DC9,update_vol_info,incomplete,59.459%,37.,190.,15.,19.,14.,11.,226.,
P:80002DD6--80002DF5,FS_SetDiagsta_CANBusOff,stmt+mc/dc,100.000%,2.,32.,0.,0.,0.,0.,32.,
P:80002DF6--80002E31,FS_SetInhibit_CANBusOff,incomplete,28.571%,7.,20.,2.,2.,0.,2.,60.,
P:80002E32--80002ECB,FS_UpdateInfo_CANBusOff,incomplete,30.000%,30.,66.,15.,15.,0.,4.,154.,
P:80002EFE--80002F31,FS_Clear_CANTimeout,incomplete,0.000%,3.,0.,0.,0.,0.,0.,52.,
P:80002F32--8000304B,FS_SetDiagsta_CANTimeout,stmt+mc/dc,100.000%,19.,264.,0.,0.,0.,0.,282.,
P:8000304C--800033C1,FS_SetInhibit_CANTimeout,incomplete,2.531%,79.,144.,38.,38.,0.,38.,886.,
P:800033C2--8000383F,FS_UpdateInfo_CANTimeout,incomplete,32.183%,174.,560.,204.,223.,41.,70.,1220.,
P:80003A60--80003AB1,CallOutRx_BCM_02_200ms,incomplete,0.000%,15.,0.,3.,27.,0.,1.,90.,
P:80003AB2--80003BB1,FS_Clear_InvalidSignal,incomplete,0.000%,16.,0.,0.,0.,0.,0.,256.,
P:80003BB2--80003D1D,FS_SetDiagsta_InvalidSignal,stmt+mc/dc,100.000%,24.,344.,0.,0.,0.,0.,360.,
P:80003D1E--80004129,FS_SetInhibit_InvalidSignal,incomplete,2.325%,86.,206.,41.,42.,0.,42.,1036.,
P:8000412A--800044DB,FS_UpdateInfo_InvalidSignal,incomplete,54.658%,161.,624.,51.,64.,2.,37.,1020.,
P:800044DC--800044E5,is_coding_navi_mismatch,incomplete,0.000%,1.,10.,1.,24.,0.,0.,10.,
P:800044E6--800044FB,is_valid_ems,incomplete,0.000%,2.,16.,4.,50.,0.,2.,22.,
P:800044FC--800045AF,update_bcm,incomplete,67.647%,34.,188.,6.,6.,0.,2.,220.,
P:800045B0--8000463F,update_clu,incomplete,61.538%,26.,112.,5.,5.,0.,2.,160.,
P:80004640--8000470F,update_ems,incomplete,59.459%,37.,180.,9.,9.,0.,3.,244.,
P:80004710--800049CF,update_esc,incomplete,56.097%,123.,518.,34.,48.,1.,22.,766.,
P:800049D0--80004AC7,update_fr_c_rdr,incomplete,54.838%,31.,226.,10.,10.,0.,1.,316.,
P:80004AC8--80004B15,update_info,incomplete,56.250%,16.,38.,5.,6.,2.,4.,78.,
P:80004B16--80004C9F,update_mdps,incomplete,62.686%,67.,322.,16.,34.,0.,7.,444.,
P:80004CA0--80004EFF,update_navi,incomplete,42.608%,115.,364.,31.,93.,7.,9.,644.,
P:80004F00--80004F47,update_rdr_fail_flg,incomplete,62.500%,8.,52.,2.,4.,0.,3.,72.,
P:80004F48--80004FD5,update_sbcm,incomplete,65.384%,26.,108.,6.,6.,0.,2.,142.,
P:80004FD6--80004FE5,FS_SetDiagsta_SWFailure,stmt+mc/dc,100.000%,1.,16.,0.,0.,0.,0.,16.,
P:80004FE6--80005021,FS_SetDiagsta_VariantCoding,incomplete,55.555%,9.,50.,2.,2.,0.,0.,60.,
P:80005022--80005041,FS_SetInhibit_SWFailure,incomplete,40.000%,5.,12.,1.,1.,0.,1.,32.,
P:80005042--80005061,FS_SetInhibit_VariantCoding,incomplete,40.000%,5.,12.,1.,1.,0.,1.,32.,
P:80005062--8000508D,FS_UpdateInfo_SWFailure,incomplete,71.428%,7.,20.,1.,2.,0.,1.,44.,
P:8000508E--800050FF,FS_UpdateInfo_VariantCoding,incomplete,38.461%,13.,32.,5.,13.,1.,0.,114.,
P:80005100--80005151,put_sw_err,incomplete,0.000%,13.,0.,7.,7.,0.,4.,94.,
P:8000574E--800057B1,memcpy,incomplete,0.000%,40.,0.,________,________,________,________,100.,
P:800057B2--80005807,memset,incomplete,0.000%,35.,30.,________,________,________,________,86.,
P:80005852--80005867,__init_sp,incomplete,0.000%,3.,0.,________,________,________,________,22.,
P:80005B2A--80005B3F,__init_sp,incomplete,0.000%,3.,0.,________,________,________,________,22.,
P:80005CBC--80005CD1,__init_sp,incomplete,0.000%,3.,22.,________,________,________,________,22.,
P:80005E4E--80005E63,__init_sp,incomplete,0.000%,3.,0.,________,________,________,________,22.,
P:80005FEE--80006003,__init_sp,incomplete,0.000%,3.,0.,________,________,________,________,22.,
P:80005E6E--80005E71,Check_Point,incomplete,0.000%,2.,2.,________,________,________,________,4.,
P:80006316--8000633B,Stack0_Fill,incomplete,0.000%,6.,0.,________,________,________,________,38.,
P:8000633C--80006361,Stack1_Fill,incomplete,0.000%,6.,0.,________,________,________,________,38.,
P:80006362--80006387,Stack2_Fill,incomplete,0.000%,6.,38.,________,________,________,________,38.,
P:80006388--800063AD,Stack3_Fill,incomplete,0.000%,6.,0.,________,________,________,________,38.,
P:800063AE--800063D3,Stack4_Fill,incomplete,0.000%,6.,0.,________,________,________,________,38.,
P:800063D4--800063F9,Stack5_Fill,incomplete,0.000%,6.,0.,________,________,________,________,38.,
P:800063FA--80006401,main_core0,incomplete,0.000%,3.,0.,________,________,________,________,8.,
P:80006402--80006409,main_core1,incomplete,0.000%,3.,0.,________,________,________,________,8.,
P:8000640A--8000643D,main_core2,incomplete,0.000%,12.,40.,________,________,________,________,52.,
P:8000643E--80006445,main_core3,incomplete,0.000%,3.,0.,________,________,________,________,8.,
P:80006446--8000644D,main_core4,incomplete,0.000%,3.,0.,________,________,________,________,8.,
P:8000644E--80006455,main_core5,incomplete,0.000%,3.,0.,________,________,________,________,8.,
P:80006180--80006195,__init_sp,incomplete,0.000%,3.,0.,________,________,________,________,22.,
P:80006456--80006485,Prost_Delay,incomplete,0.000%,7.,0.,________,________,________,________,48.,
